Eliminations
13
16
20
13
15
17
13
26
14
11
17
14
6
20
20
11
20
13
8
14
19
16
10
28
27
10
18
10
27
22
23
20
25
20
21
15
16
19
10
15
24
17
11
22
17
9
21
14
26
18
24
8
20
16
20
14
19
12
17
20
13
15
14
3
15
9
10
11
20
11
15
17
15
11
21
18
15
22
2
15
17
17
16
19
19
13
6
15
11
18
5
16
16
13
13
9
25
14
19
21
